,1,2,3,4,5,6,7,8,9,10,11,12
0,1.32,1.27,1.21,1.06,1,0.95,0.95,0.86,0.94,1.08,1.25,1.37
1,1.33,1.28,1.23,1.07,0.97,0.92,0.93,0.84,0.94,1.07,1.25,1.38
2,1.33,1.32,1.25,1.06,0.93,0.89,0.88,0.82,0.93,1.06,1.25,1.37
3,1.35,1.35,1.24,1.05,0.92,0.88,0.85,0.81,0.93,1.07,1.25,1.37
4,1.37,1.37,1.24,1.05,0.92,0.87,0.82,0.79,0.91,1.06,1.26,1.38
5,1.38,1.37,1.23,1.05,0.92,0.85,0.8,0.78,0.91,1.05,1.25,1.38
6,1.38,1.37,1.23,1.03,0.9,0.77,0.76,0.77,0.91,1.03,1.23,1.38
7,1.39,1.37,1.21,0.97,0.77,0.62,0.65,0.69,0.89,1.02,1.25,1.4
8,1.39,1.35,1.13,0.86,0.69,0.59,0.6,0.59,0.8,0.99,1.27,1.4
9,1.35,1.26,1.03,0.83,0.68,0.59,0.59,0.56,0.71,0.89,1.24,1.37
10,1.26,1.17,1,0.83,0.68,0.61,0.6,0.58,0.67,0.81,1.16,1.29
11,1.18,1.15,1,0.83,0.7,0.64,0.64,0.61,0.67,0.78,1.08,1.17
12,1.14,1.17,1.02,0.84,0.73,0.66,0.67,0.64,0.67,0.78,1.06,1.07
13,1.13,1.19,1.05,0.86,0.75,0.69,0.71,0.66,0.69,0.78,1.06,1.05
14,1.14,1.19,1.06,0.88,0.78,0.73,0.75,0.68,0.72,0.77,1.06,1.05
15,1.15,1.2,1.09,0.89,0.8,0.76,0.79,0.71,0.75,0.8,1.07,1.06
16,1.17,1.21,1.11,0.92,0.83,0.78,0.82,0.74,0.77,0.83,1.1,1.1
17,1.22,1.23,1.12,0.93,0.87,0.79,0.82,0.75,0.78,0.87,1.14,1.16
18,1.27,1.24,1.14,0.97,0.89,0.81,0.82,0.79,0.83,0.92,1.15,1.2
19,1.27,1.24,1.15,0.99,0.92,0.84,0.83,0.83,0.87,0.96,1.17,1.24
20,1.27,1.24,1.16,1.01,0.97,0.89,0.85,0.84,0.89,0.98,1.18,1.25
21,1.28,1.23,1.17,1.03,0.98,0.92,0.86,0.85,0.88,1,1.17,1.25
22,1.27,1.22,1.18,1.03,0.99,0.95,0.85,0.85,0.9,1.01,1.2,1.24
23,1.24,1.22,1.19,1.01,0.98,0.96,0.85,0.86,0.92,1.02,1.22,1.23
